OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.6.2, build: 200518-aa79d0918f, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Qtenv...

Loading NED files from ..:  6
Loading NED files from ../../src:  11
Loading NED files from ../../../inet/src:  831
Loading NED files from ../../../inet/examples:  174
Loading NED files from ../../../inet/tutorials:  10
Loading NED files from ../../../inet/showcases:  46
Loading NED files from ../../../../veins/examples/veins:  1
Loading NED files from ../../../../veins/src/veins:  44

Loading images from '/home/mathesh/omnetpp-workspace/inet/images': *: 0  3d/*: 0  background/*: 1  misc/*: 218  showcases/*: 9 
Loading images from '/home/mathesh/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/mathesh/omnetpp-5.6.2/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

4.601657205966 Vehicle 2 RECEIVED HELLO from 3
4.601657205966 Vehicle 2 SENDING ACK to 3
4.601657205987 Vehicle 1 RECEIVED HELLO from 3
4.601657205987 Vehicle 1 SENDING ACK to 3
4.680293017633 Vehicle 1 SENDING HELLO #45 | acked {1} | pending ACK {0,2,3}
4.680390115411 Vehicle 3 RECEIVED HELLO from 1
4.680390115411 Vehicle 3 SENDING ACK to 1
4.680390115456 Vehicle 0 RECEIVED HELLO from 1
4.680390115456 Vehicle 0 SENDING ACK to 1
4.689934940375 Vehicle 0 SENDING HELLO #45 | acked {0} | pending ACK {1,2,3}
4.690032038176 Vehicle 2 RECEIVED HELLO from 0
4.690032038176 Vehicle 2 SENDING ACK to 0
4.690032038198 Vehicle 1 RECEIVED HELLO from 0
4.690032038198 Vehicle 1 SENDING ACK to 0
4.702808768845 Vehicle 2 SENDING HELLO #45 | acked {0,2,3} | pending ACK {1}
4.702905860031 Vehicle 3 RECEIVED HELLO from 2
4.702905860031 Vehicle 3 SENDING ACK to 2
4.702905860066 Vehicle 0 RECEIVED HELLO from 2
4.702905860066 Vehicle 0 SENDING ACK to 2
4.70503741436 Vehicle 3 SENDING HELLO #45 | acked {3} | pending ACK {0,1,2}
4.705134505546 Vehicle 2 RECEIVED HELLO from 3
4.705134505546 Vehicle 2 SENDING ACK to 3
4.705134505565 Vehicle 1 RECEIVED HELLO from 3
4.705134505565 Vehicle 1 SENDING ACK to 3
4.781116488415 Vehicle 1 SENDING HELLO #46 | acked {1} | pending ACK {0,2,3}
4.78121357962 Vehicle 3 RECEIVED HELLO from 1
4.78121357962 Vehicle 3 SENDING ACK to 1
4.781213579656 Vehicle 0 RECEIVED HELLO from 1
4.781213579656 Vehicle 0 SENDING ACK to 1
4.792821083301 Vehicle 0 SENDING HELLO #46 | acked {0} | pending ACK {1,2,3}
4.792918174522 Vehicle 2 RECEIVED HELLO from 0
4.792918174522 Vehicle 2 SENDING ACK to 0
4.792918174542 Vehicle 1 RECEIVED HELLO from 0
4.792918174542 Vehicle 1 SENDING ACK to 0
4.793099265783 Vehicle 0 RECEIVED ACK from 1 | acked {0,1} | pending ACK {2,3}
4.793242265743 Vehicle 0 RECEIVED ACK from 2 | acked {0,1,2} | pending ACK {3}
4.807479838854 Vehicle 2 SENDING HELLO #46 | acked {0,2,3} | pending ACK {1}
4.80757692345 Vehicle 3 RECEIVED HELLO from 2
4.80757692345 Vehicle 3 SENDING ACK to 2
4.807576923497 Vehicle 0 RECEIVED HELLO from 2
4.807576923497 Vehicle 0 SENDING ACK to 2
4.807715578346 Vehicle 3 SENDING HELLO #46 | acked {3} | pending ACK {0,1,2}
4.808211008046 Vehicle 2 RECEIVED HELLO from 3
4.808211008046 Vehicle 2 SENDING ACK to 3
4.808211008057 Vehicle 1 RECEIVED HELLO from 3
4.808211008057 Vehicle 1 SENDING ACK to 3
4.808392092642 Vehicle 3 RECEIVED ACK from 2 | acked {2,3} | pending ACK {0,1}
4.808561092664 Vehicle 3 RECEIVED ACK from 1 | acked {1,2,3} | pending ACK {0}
4.884767098546 Vehicle 1 SENDING HELLO #47 | acked {1} | pending ACK {0,2,3}
4.884864183153 Vehicle 3 RECEIVED HELLO from 1
4.884864183153 Vehicle 3 SENDING ACK to 1
4.884864183201 Vehicle 0 RECEIVED HELLO from 1
4.884864183201 Vehicle 0 SENDING ACK to 1
4.894812188638 Vehicle 0 SENDING HELLO #47 | acked {0,1,2} | pending ACK {3}
4.894909273281 Vehicle 2 RECEIVED HELLO from 0
4.894909273281 Vehicle 2 SENDING ACK to 0
4.894909273293 Vehicle 1 RECEIVED HELLO from 0
4.894909273293 Vehicle 1 SENDING ACK to 0
4.895077357948 Vehicle 0 RECEIVED ACK from 1 | acked {0,1,2} | pending ACK {3}
4.895246357924 Vehicle 0 RECEIVED ACK from 2 | acked {0,1,2} | pending ACK {3}
4.908410803881 Vehicle 2 SENDING HELLO #47 | acked {0,2,3} | pending ACK {1}
4.908507881906 Vehicle 3 RECEIVED HELLO from 2
4.908507881906 Vehicle 3 SENDING ACK to 2
4.908507881944 Vehicle 0 RECEIVED HELLO from 2
4.908507881944 Vehicle 0 SENDING ACK to 2
4.908688959931 Vehicle 2 RECEIVED ACK from 3 | acked {0,2,3} | pending ACK {1}
4.908818960007 Vehicle 2 RECEIVED ACK from 0 | acked {0,2,3} | pending ACK {1}
4.911413332329 Vehicle 3 SENDING HELLO #47 | acked {1,2,3} | pending ACK {0}
4.911510410354 Vehicle 2 RECEIVED HELLO from 3
4.911510410354 Vehicle 2 SENDING ACK to 3
4.911510410365 Vehicle 1 RECEIVED HELLO from 3
4.911510410365 Vehicle 1 SENDING ACK to 3
4.911678488379 Vehicle 3 RECEIVED ACK from 2 | acked {1,2,3} | pending ACK {0}
4.911782488401 Vehicle 3 RECEIVED ACK from 1 | acked {1,2,3} | pending ACK {0}
4.985904171692 Vehicle 1 SENDING HELLO #48 | acked {1} | pending ACK {0,2,3}
4.986001249728 Vehicle 3 RECEIVED HELLO from 1
4.986001249728 Vehicle 3 SENDING ACK to 1
4.986001249768 Vehicle 0 RECEIVED HELLO from 1
4.986001249768 Vehicle 0 SENDING ACK to 1
4.99510233445 Vehicle 0 SENDING HELLO #48 | acked {0,1,2} | pending ACK {3}
4.995199412513 Vehicle 2 RECEIVED HELLO from 0
4.995199412513 Vehicle 2 SENDING ACK to 0
4.995199412526 Vehicle 1 RECEIVED HELLO from 0
4.995199412526 Vehicle 1 SENDING ACK to 0
4.995354490576 Vehicle 0 RECEIVED ACK from 2 | acked {0,1,2} | pending ACK {3}
4.995497490602 Vehicle 0 RECEIVED ACK from 1 | acked {0,1,2} | pending ACK {3}
5.009969783265 Vehicle 2 SENDING HELLO #48 | acked {0,2,3} | pending ACK {1}
5.010066854725 Vehicle 3 RECEIVED HELLO from 2
5.010066854725 Vehicle 3 SENDING ACK to 2
5.010066854767 Vehicle 0 RECEIVED HELLO from 2
5.010066854767 Vehicle 0 SENDING ACK to 2
5.010234926269 Vehicle 2 RECEIVED ACK from 0 | acked {0,2,3} | pending ACK {1}
